bib,last_name,first_name,team
161,VAUQUELIN,Kévin,Arkéa - B&B Hotels
162,CAPIOT,Amaury,Arkéa - B&B Hotels
163,CHAMPOUSSIN,Clément,Arkéa - B&B Hotels
164,DEMARE,Arnaud,Arkéa - B&B Hotels
165,GARCIA PIERNA,Raul,Arkéa - B&B Hotels
166,MCLAY,Daniel,Arkéa - B&B Hotels
167,MOZZATO,Luca,Arkéa - B&B Hotels
168,RODRIGUEZ,Cristian,Arkéa - B&B Hotels
171,GIRMAY,Biniam,Intermarché - Wanty
172,GOOSSENS,Kobe,Intermarché - Wanty
173,MEINTJES,Louis,Intermarché - Wanty
174,PAGE,Hugo,Intermarché - Wanty
175,REX,Laurenz,Intermarché - Wanty
176,TEUNISSEN,Mike,Intermarché - Wanty
177,THIJSSEN,Gerben,Intermarché - Wanty
178,ZIMMERMANN,Georg,Intermarché - Wanty
181,BARDET,Romain,Team DSM-Firmenich Postnl
182,BARGUIL,Warren,Team DSM-Firmenich Postnl
183,DEGENKOLB,John,Team DSM-Firmenich Postnl
184,EEKHOFF,Nils,Team DSM-Firmenich Postnl
185,JAKOBSEN,Fabio,Team DSM-Firmenich Postnl
186,ONLEY,Oscar,Team DSM-Firmenich Postnl
187,VAN DEN BROEK,Frank,Team DSM-Firmenich Postnl
188,WELTEN,Bram,Team DSM-Firmenich Postnl
191,LUTSENKO,Alexey,Astana Qazaqstan Team
192,BALLERINI,Davide,Astana Qazaqstan Team
193,BOL,Cees,Astana Qazaqstan Team
194,CAVENDISH,Mark,Astana Qazaqstan Team
195,FEDOROV,Yevgeniy,Astana Qazaqstan Team
196,GAZZOLI,Michele,Astana Qazaqstan Team
197,MORKOV,Michael,Astana Qazaqstan Team
198,TEJADA,Harold,Astana Qazaqstan Team
201,CORT NIELSEN,Magnus,Uno-X Mobility
202,ABRAHAMSEN,Jonas,Uno-X Mobility
203,EIKING,Odd Christian,Uno-X Mobility
204,JOHANNESSEN,Tobias Halland,Uno-X Mobility
205,KRISTOFF,Alexander,Uno-X Mobility
206,KULSET,Johannes,Uno-X Mobility
207,TILLER,Rasmus,Uno-X Mobility
208,WÆRENSKJOLD,Søren,Uno-X Mobility
211,BURGAUDEAU,Mathieu,TotalEnergies
212,CRAS,Steff,TotalEnergies
213,DUJARDIN,Sandy,TotalEnergies
214,GACHIGNARD,Thomas,TotalEnergies
215,GRELLIER,Fabien,TotalEnergies
216,JEGAT,Jordan,TotalEnergies
217,TURGIS,Anthony,TotalEnergies
218,VERCHER,Mattéo,TotalEnergies
